"","Sample.name","title","source.name","organism","characteristics..age","characteristics..developmental.stage","characteristics..sex","molecule","description","processed.data.file","raw.file","BioSample","Instrument.Model","Sample.name.new"
"N11_384Bulk_Plate2_S323","N11_384Bulk_Plate2_S323","Tabula Muris Senis (bulk RNA seq)","Heart_18","Mus musculus C57/BL6","18","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126817","SAMN11855342","Illumina NovaSeq 6000","Heart_18-f-18"
"N11_384Bulk_Plate3_S323","N11_384Bulk_Plate3_S323","Tabula Muris Senis (bulk RNA seq)","Marrow_41","Mus musculus C57/BL6","15","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126828","SAMN11855343","Illumina NovaSeq 6000","Marrow_41-f-15"
"N12_384Bulk_Plate1_S324","N12_384Bulk_Plate1_S324","Tabula Muris Senis (bulk RNA seq)","Limb_Muscle_31","Mus musculus C57/BL6","1","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126874","SAMN11855344","Illumina NovaSeq 6000","Limb_Muscle_31-m-1"
"N12_384Bulk_Plate2_S324","N12_384Bulk_Plate2_S324","Tabula Muris Senis (bulk RNA seq)","Brain_27","Mus musculus C57/BL6","15","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126887","SAMN11855345","Illumina NovaSeq 6000","Brain_27-m-15"
"N12_384Bulk_Plate3_S324","N12_384Bulk_Plate3_S324","Tabula Muris Senis (bulk RNA seq)","Liver_42","Mus musculus C57/BL6","12","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127536","SAMN11855346","Illumina NovaSeq 6000","Liver_42-m-12"
"N13_384Bulk_Plate1_S325","N13_384Bulk_Plate1_S325","Tabula Muris Senis (bulk RNA seq)","Spleen_15","Mus musculus C57/BL6","6","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127046","SAMN11855347","Illumina NovaSeq 6000","Spleen_15-m-6"
"N13_384Bulk_Plate2_S325","N13_384Bulk_Plate2_S325","Tabula Muris Senis (bulk RNA seq)","GAT_47","Mus musculus C57/BL6","24","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127062","SAMN11855348","Illumina NovaSeq 6000","GAT_47-m-24"
"N13_384Bulk_Plate3_S325","N13_384Bulk_Plate3_S325","Tabula Muris Senis (bulk RNA seq)","BAT_25","Mus musculus C57/BL6","12","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127049","SAMN11855349","Illumina NovaSeq 6000","BAT_25-m-12"
"N14_384Bulk_Plate1_S326","N14_384Bulk_Plate1_S326","Tabula Muris Senis (bulk RNA seq)","WBC_53","Mus musculus C57/BL6","9","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127540","SAMN11855350","Illumina NovaSeq 6000","WBC_53-f-9"
"N14_384Bulk_Plate2_S326","N14_384Bulk_Plate2_S326","Tabula Muris Senis (bulk RNA seq)","Pancreas_8","Mus musculus C57/BL6","9","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127058","SAMN11855351","Illumina NovaSeq 6000","Pancreas_8-m-9"
"N14_384Bulk_Plate3_S326","N14_384Bulk_Plate3_S326","Tabula Muris Senis (bulk RNA seq)","NA12","Mus musculus C57/BL6","NA12","months postnatal","missing","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127538","SAMN11855352","Illumina NovaSeq 6000","NA12-missing-NA12"
"N15_384Bulk_Plate1_S327","N15_384Bulk_Plate1_S327","Tabula Muris Senis (bulk RNA seq)","Kidney_15","Mus musculus C57/BL6","24","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127537","SAMN11855353","Illumina NovaSeq 6000","Kidney_15-m-24"
"N15_384Bulk_Plate2_S327","N15_384Bulk_Plate2_S327","Tabula Muris Senis (bulk RNA seq)","Liver_3","Mus musculus C57/BL6","15","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126677","SAMN11855354","Illumina NovaSeq 6000","Liver_3-m-15"
"N16_384Bulk_Plate1_S328","N16_384Bulk_Plate1_S328","Tabula Muris Senis (bulk RNA seq)","Liver_20","Mus musculus C57/BL6","3","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126676","SAMN11855355","Illumina NovaSeq 6000","Liver_20-m-3"
"N16_384Bulk_Plate2_S328","N16_384Bulk_Plate2_S328","Tabula Muris Senis (bulk RNA seq)","Marrow_49","Mus musculus C57/BL6","1","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127497","SAMN11855356","Illumina NovaSeq 6000","Marrow_49-m-1"
"N17_384Bulk_Plate1_S329","N17_384Bulk_Plate1_S329","Tabula Muris Senis (bulk RNA seq)","SCAT_48","Mus musculus C57/BL6","3","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127498","SAMN11855357","Illumina NovaSeq 6000","SCAT_48-m-3"
"N17_384Bulk_Plate2_S329","N17_384Bulk_Plate2_S329","Tabula Muris Senis (bulk RNA seq)","Small_Intestine_12","Mus musculus C57/BL6","6","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126960","SAMN11855358","Illumina NovaSeq 6000","Small_Intestine_12-m-6"
"N18_384Bulk_Plate1_S330","N18_384Bulk_Plate1_S330","Tabula Muris Senis (bulk RNA seq)","MAT_44","Mus musculus C57/BL6","6","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126961","SAMN11855359","Illumina NovaSeq 6000","MAT_44-f-6"
"N18_384Bulk_Plate2_S330","N18_384Bulk_Plate2_S330","Tabula Muris Senis (bulk RNA seq)","Small_Intestine_30","Mus musculus C57/BL6","12","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126954","SAMN11855360","Illumina NovaSeq 6000","Small_Intestine_30-m-12"
"N19_384Bulk_Plate1_S331","N19_384Bulk_Plate1_S331","Tabula Muris Senis (bulk RNA seq)","Pancreas_22","Mus musculus C57/BL6","9","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126955","SAMN11855361","Illumina NovaSeq 6000","Pancreas_22-f-9"
"N19_384Bulk_Plate2_S331","N19_384Bulk_Plate2_S331","Tabula Muris Senis (bulk RNA seq)","Brain_10","Mus musculus C57/BL6","18","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126956","SAMN11855362","Illumina NovaSeq 6000","Brain_10-m-18"
"N2_384Bulk_Plate1_S314","N2_384Bulk_Plate1_S314","Tabula Muris Senis (bulk RNA seq)","Small_Intestine_19","Mus musculus C57/BL6","18","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126957","SAMN11855363","Illumina NovaSeq 6000","Small_Intestine_19-f-18"
"N2_384Bulk_Plate2_S314","N2_384Bulk_Plate2_S314","Tabula Muris Senis (bulk RNA seq)","Skin_20","Mus musculus C57/BL6","3","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127482","SAMN11855364","Illumina NovaSeq 6000","Skin_20-m-3"
"N2_384Bulk_Plate3_S314","N2_384Bulk_Plate3_S314","Tabula Muris Senis (bulk RNA seq)","Brain_41","Mus musculus C57/BL6","15","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127483","SAMN11855365","Illumina NovaSeq 6000","Brain_41-m-15"
"N20_384Bulk_Plate1_S332","N20_384Bulk_Plate1_S332","Tabula Muris Senis (bulk RNA seq)","Spleen_32","Mus musculus C57/BL6","18","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126990","SAMN11855366","Illumina NovaSeq 6000","Spleen_32-m-18"
"N20_384Bulk_Plate2_S332","N20_384Bulk_Plate2_S332","Tabula Muris Senis (bulk RNA seq)","GAT_50","Mus musculus C57/BL6","1","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126991","SAMN11855367","Illumina NovaSeq 6000","GAT_50-m-1"
"N21_384Bulk_Plate1_S333","N21_384Bulk_Plate1_S333","Tabula Muris Senis (bulk RNA seq)","Limb_Muscle_4","Mus musculus C57/BL6","18","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126992","SAMN11855368","Illumina NovaSeq 6000","Limb_Muscle_4-f-18"
"N21_384Bulk_Plate2_S333","N21_384Bulk_Plate2_S333","Tabula Muris Senis (bulk RNA seq)","WBC_19","Mus musculus C57/BL6","1","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126993","SAMN11855369","Illumina NovaSeq 6000","WBC_19-m-1"
"N22_384Bulk_Plate1_S334","N22_384Bulk_Plate1_S334","Tabula Muris Senis (bulk RNA seq)","Bone_19","Mus musculus C57/BL6","9","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126986","SAMN11855370","Illumina NovaSeq 6000","Bone_19-m-9"
"N22_384Bulk_Plate2_S334","N22_384Bulk_Plate2_S334","Tabula Muris Senis (bulk RNA seq)","Bone_54","Mus musculus C57/BL6","9","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126987","SAMN11855371","Illumina NovaSeq 6000","Bone_54-m-9"
"N23_384Bulk_Plate1_S335","N23_384Bulk_Plate1_S335","Tabula Muris Senis (bulk RNA seq)","Skin_27","Mus musculus C57/BL6","15","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126988","SAMN11855372","Illumina NovaSeq 6000","Skin_27-f-15"
"N23_384Bulk_Plate2_S335","N23_384Bulk_Plate2_S335","Tabula Muris Senis (bulk RNA seq)","Bone_17","Mus musculus C57/BL6","18","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126989","SAMN11855373","Illumina NovaSeq 6000","Bone_17-m-18"
"N3_384Bulk_Plate1_S315","N3_384Bulk_Plate1_S315","Tabula Muris Senis (bulk RNA seq)","Skin_16","Mus musculus C57/BL6","24","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126995","SAMN11855374","Illumina NovaSeq 6000","Skin_16-m-24"
"N3_384Bulk_Plate2_S315","N3_384Bulk_Plate2_S315","Tabula Muris Senis (bulk RNA seq)","Skin_34","Mus musculus C57/BL6","18","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126996","SAMN11855375","Illumina NovaSeq 6000","Skin_34-f-18"
"N3_384Bulk_Plate3_S315","N3_384Bulk_Plate3_S315","Tabula Muris Senis (bulk RNA seq)","WBC_26","Mus musculus C57/BL6","6","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126922","SAMN11855376","Illumina NovaSeq 6000","WBC_26-f-6"
"N4_384Bulk_Plate1_S316","N4_384Bulk_Plate1_S316","Tabula Muris Senis (bulk RNA seq)","Brain_38","Mus musculus C57/BL6","12","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126921","SAMN11855377","Illumina NovaSeq 6000","Brain_38-f-12"
"N4_384Bulk_Plate2_S316","N4_384Bulk_Plate2_S316","Tabula Muris Senis (bulk RNA seq)","Limb_Muscle_9","Mus musculus C57/BL6","3","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126920","SAMN11855378","Illumina NovaSeq 6000","Limb_Muscle_9-m-3"
"N4_384Bulk_Plate3_S316","N4_384Bulk_Plate3_S316","Tabula Muris Senis (bulk RNA seq)","MAT_56","Mus musculus C57/BL6","18","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126919","SAMN11855379","Illumina NovaSeq 6000","MAT_56-m-18"
"N5_384Bulk_Plate1_S317","N5_384Bulk_Plate1_S317","Tabula Muris Senis (bulk RNA seq)","WBC_31","Mus musculus C57/BL6","12","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126926","SAMN11855380","Illumina NovaSeq 6000","WBC_31-m-12"
"N5_384Bulk_Plate2_S317","N5_384Bulk_Plate2_S317","Tabula Muris Senis (bulk RNA seq)","Spleen_24","Mus musculus C57/BL6","1","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126925","SAMN11855381","Illumina NovaSeq 6000","Spleen_24-m-1"
"N5_384Bulk_Plate3_S317","N5_384Bulk_Plate3_S317","Tabula Muris Senis (bulk RNA seq)","Kidney_39","Mus musculus C57/BL6","18","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126924","SAMN11855382","Illumina NovaSeq 6000","Kidney_39-m-18"
"N6_384Bulk_Plate1_S318","N6_384Bulk_Plate1_S318","Tabula Muris Senis (bulk RNA seq)","Kidney_41","Mus musculus C57/BL6","24","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126923","SAMN11855383","Illumina NovaSeq 6000","Kidney_41-m-24"
"N6_384Bulk_Plate2_S318","N6_384Bulk_Plate2_S318","Tabula Muris Senis (bulk RNA seq)","Limb_Muscle_46","Mus musculus C57/BL6","9","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126930","SAMN11855384","Illumina NovaSeq 6000","Limb_Muscle_46-m-9"
"N6_384Bulk_Plate3_S318","N6_384Bulk_Plate3_S318","Tabula Muris Senis (bulk RNA seq)","Bone_20","Mus musculus C57/BL6","18","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126929","SAMN11855385","Illumina NovaSeq 6000","Bone_20-m-18"
"N7_384Bulk_Plate1_S319","N7_384Bulk_Plate1_S319","Tabula Muris Senis (bulk RNA seq)","Heart_10","Mus musculus C57/BL6","21","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127138","SAMN11855386","Illumina NovaSeq 6000","Heart_10-m-21"
"N7_384Bulk_Plate2_S319","N7_384Bulk_Plate2_S319","Tabula Muris Senis (bulk RNA seq)","Brain_12","Mus musculus C57/BL6","21","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127067","SAMN11855387","Illumina NovaSeq 6000","Brain_12-f-21"
"N7_384Bulk_Plate3_S319","N7_384Bulk_Plate3_S319","Tabula Muris Senis (bulk RNA seq)","Limb_Muscle_43","Mus musculus C57/BL6","15","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127016","SAMN11855388","Illumina NovaSeq 6000","Limb_Muscle_43-m-15"
"N8_384Bulk_Plate1_S320","N8_384Bulk_Plate1_S320","Tabula Muris Senis (bulk RNA seq)","Liver_16","Mus musculus C57/BL6","27","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127018","SAMN11855389","Illumina NovaSeq 6000","Liver_16-m-27"
"N8_384Bulk_Plate2_S320","N8_384Bulk_Plate2_S320","Tabula Muris Senis (bulk RNA seq)","Marrow_6","Mus musculus C57/BL6","12","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126946","SAMN11855390","Illumina NovaSeq 6000","Marrow_6-m-12"
"N8_384Bulk_Plate3_S320","N8_384Bulk_Plate3_S320","Tabula Muris Senis (bulk RNA seq)","Spleen_9","Mus musculus C57/BL6","21","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127013","SAMN11855391","Illumina NovaSeq 6000","Spleen_9-m-21"
"N9_384Bulk_Plate1_S321","N9_384Bulk_Plate1_S321","Tabula Muris Senis (bulk RNA seq)","GAT_44","Mus musculus C57/BL6","21","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126936","SAMN11855392","Illumina NovaSeq 6000","GAT_44-m-21"
"N9_384Bulk_Plate2_S321","N9_384Bulk_Plate2_S321","Tabula Muris Senis (bulk RNA seq)","Skin_28","Mus musculus C57/BL6","27","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127300","SAMN11855393","Illumina NovaSeq 6000","Skin_28-m-27"
"N9_384Bulk_Plate3_S321","N9_384Bulk_Plate3_S321","Tabula Muris Senis (bulk RNA seq)","Small_Intestine_54","Mus musculus C57/BL6","1","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126762","SAMN11855394","Illumina NovaSeq 6000","Small_Intestine_54-m-1"
"O1_384Bulk_Plate1_S337","O1_384Bulk_Plate1_S337","Tabula Muris Senis (bulk RNA seq)","Bone_31","Mus musculus C57/BL6","21","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126763","SAMN11855395","Illumina NovaSeq 6000","Bone_31-m-21"
"O1_384Bulk_Plate2_S337","O1_384Bulk_Plate2_S337","Tabula Muris Senis (bulk RNA seq)","Pancreas_54","Mus musculus C57/BL6","3","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126720","SAMN11855396","Illumina NovaSeq 6000","Pancreas_54-m-3"
"O10_384Bulk_Plate1_S346","O10_384Bulk_Plate1_S346","Tabula Muris Senis (bulk RNA seq)","Bone_14","Mus musculus C57/BL6","6","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126719","SAMN11855397","Illumina NovaSeq 6000","Bone_14-m-6"
"O10_384Bulk_Plate2_S346","O10_384Bulk_Plate2_S346","Tabula Muris Senis (bulk RNA seq)","Bone_48","Mus musculus C57/BL6","12","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126997","SAMN11855398","Illumina NovaSeq 6000","Bone_48-m-12"
"O10_384Bulk_Plate3_S346","O10_384Bulk_Plate3_S346","Tabula Muris Senis (bulk RNA seq)","GAT_13","Mus musculus C57/BL6","6","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126994","SAMN11855399","Illumina NovaSeq 6000","GAT_13-f-6"
"O11_384Bulk_Plate1_S347","O11_384Bulk_Plate1_S347","Tabula Muris Senis (bulk RNA seq)","Marrow_14","Mus musculus C57/BL6","12","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126716","SAMN11855400","Illumina NovaSeq 6000","Marrow_14-m-12"
"O11_384Bulk_Plate2_S347","O11_384Bulk_Plate2_S347","Tabula Muris Senis (bulk RNA seq)","Kidney_27","Mus musculus C57/BL6","12","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126715","SAMN11855401","Illumina NovaSeq 6000","Kidney_27-f-12"
"O11_384Bulk_Plate3_S347","O11_384Bulk_Plate3_S347","Tabula Muris Senis (bulk RNA seq)","GAT_24","Mus musculus C57/BL6","15","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126718","SAMN11855402","Illumina NovaSeq 6000","GAT_24-f-15"
"O12_384Bulk_Plate1_S348","O12_384Bulk_Plate1_S348","Tabula Muris Senis (bulk RNA seq)","SCAT_30","Mus musculus C57/BL6","18","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126717","SAMN11855403","Illumina NovaSeq 6000","SCAT_30-m-18"
"O12_384Bulk_Plate2_S348","O12_384Bulk_Plate2_S348","Tabula Muris Senis (bulk RNA seq)","BAT_7","Mus musculus C57/BL6","15","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126965","SAMN11855404","Illumina NovaSeq 6000","BAT_7-m-15"
"O12_384Bulk_Plate3_S348","O12_384Bulk_Plate3_S348","Tabula Muris Senis (bulk RNA seq)","Limb_Muscle_23","Mus musculus C57/BL6","24","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126963","SAMN11855405","Illumina NovaSeq 6000","Limb_Muscle_23-m-24"
"O13_384Bulk_Plate1_S349","O13_384Bulk_Plate1_S349","Tabula Muris Senis (bulk RNA seq)","Kidney_6","Mus musculus C57/BL6","12","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127394","SAMN11855406","Illumina NovaSeq 6000","Kidney_6-m-12"
"O13_384Bulk_Plate2_S349","O13_384Bulk_Plate2_S349","Tabula Muris Senis (bulk RNA seq)","Heart_29","Mus musculus C57/BL6","12","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126804","SAMN11855407","Illumina NovaSeq 6000","Heart_29-m-12"
"O13_384Bulk_Plate3_S349","O13_384Bulk_Plate3_S349","Tabula Muris Senis (bulk RNA seq)","Skin_2","Mus musculus C57/BL6","27","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126811","SAMN11855408","Illumina NovaSeq 6000","Skin_2-m-27"
"O14_384Bulk_Plate1_S350","O14_384Bulk_Plate1_S350","Tabula Muris Senis (bulk RNA seq)","Bone_9","Mus musculus C57/BL6","12","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127554","SAMN11855409","Illumina NovaSeq 6000","Bone_9-f-12"
"O14_384Bulk_Plate2_S350","O14_384Bulk_Plate2_S350","Tabula Muris Senis (bulk RNA seq)","SCAT_46","Mus musculus C57/BL6","15","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127360","SAMN11855410","Illumina NovaSeq 6000","SCAT_46-m-15"
"O14_384Bulk_Plate3_S350","O14_384Bulk_Plate3_S350","Tabula Muris Senis (bulk RNA seq)","NA13","Mus musculus C57/BL6","NA13","months postnatal","missing","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127374","SAMN11855411","Illumina NovaSeq 6000","NA13-missing-NA13"
"O15_384Bulk_Plate1_S351","O15_384Bulk_Plate1_S351","Tabula Muris Senis (bulk RNA seq)","Lung_47","Mus musculus C57/BL6","6","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127395","SAMN11855412","Illumina NovaSeq 6000","Lung_47-m-6"
"O15_384Bulk_Plate2_S351","O15_384Bulk_Plate2_S351","Tabula Muris Senis (bulk RNA seq)","Heart_3","Mus musculus C57/BL6","6","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127456","SAMN11855413","Illumina NovaSeq 6000","Heart_3-m-6"
"O16_384Bulk_Plate1_S352","O16_384Bulk_Plate1_S352","Tabula Muris Senis (bulk RNA seq)","Brain_2","Mus musculus C57/BL6","1","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127066","SAMN11855414","Illumina NovaSeq 6000","Brain_2-m-1"
"O16_384Bulk_Plate2_S352","O16_384Bulk_Plate2_S352","Tabula Muris Senis (bulk RNA seq)","MAT_25","Mus musculus C57/BL6","18","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127271","SAMN11855415","Illumina NovaSeq 6000","MAT_25-f-18"
"O17_384Bulk_Plate1_S353","O17_384Bulk_Plate1_S353","Tabula Muris Senis (bulk RNA seq)","WBC_15","Mus musculus C57/BL6","15","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127061","SAMN11855416","Illumina NovaSeq 6000","WBC_15-m-15"
"O17_384Bulk_Plate2_S353","O17_384Bulk_Plate2_S353","Tabula Muris Senis (bulk RNA seq)","WBC_14","Mus musculus C57/BL6","9","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127178","SAMN11855417","Illumina NovaSeq 6000","WBC_14-m-9"
"O18_384Bulk_Plate1_S354","O18_384Bulk_Plate1_S354","Tabula Muris Senis (bulk RNA seq)","Marrow_29","Mus musculus C57/BL6","21","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127196","SAMN11855418","Illumina NovaSeq 6000","Marrow_29-m-21"
"O18_384Bulk_Plate2_S354","O18_384Bulk_Plate2_S354","Tabula Muris Senis (bulk RNA seq)","Bone_7","Mus musculus C57/BL6","1","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127041","SAMN11855419","Illumina NovaSeq 6000","Bone_7-f-1"
