"","Sample.name","title","source.name","organism","characteristics..age","characteristics..developmental.stage","characteristics..sex","molecule","description","processed.data.file","raw.file","BioSample","Instrument.Model","Sample.name.new"
"I8_384Bulk_Plate3_S200","I8_384Bulk_Plate3_S200","Tabula Muris Senis (bulk RNA seq)","SCAT_8","Mus musculus C57/BL6","6","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127171","SAMN11855092","Illumina NovaSeq 6000","SCAT_8-m-6"
"I9_384Bulk_Plate1_S201","I9_384Bulk_Plate1_S201","Tabula Muris Senis (bulk RNA seq)","Kidney_29","Mus musculus C57/BL6","21","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127042","SAMN11855093","Illumina NovaSeq 6000","Kidney_29-m-21"
"I9_384Bulk_Plate2_S201","I9_384Bulk_Plate2_S201","Tabula Muris Senis (bulk RNA seq)","Heart_12","Mus musculus C57/BL6","24","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127180","SAMN11855094","Illumina NovaSeq 6000","Heart_12-m-24"
"I9_384Bulk_Plate3_S201","I9_384Bulk_Plate3_S201","Tabula Muris Senis (bulk RNA seq)","Lung_18","Mus musculus C57/BL6","1","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127179","SAMN11855095","Illumina NovaSeq 6000","Lung_18-m-1"
"J1_384Bulk_Plate1_S217","J1_384Bulk_Plate1_S217","Tabula Muris Senis (bulk RNA seq)","Liver_29","Mus musculus C57/BL6","6","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127585","SAMN11855096","Illumina NovaSeq 6000","Liver_29-f-6"
"J1_384Bulk_Plate2_S217","J1_384Bulk_Plate2_S217","Tabula Muris Senis (bulk RNA seq)","Liver_48","Mus musculus C57/BL6","21","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126652","SAMN11855097","Illumina NovaSeq 6000","Liver_48-f-21"
"J1_384Bulk_Plate3_S217","J1_384Bulk_Plate3_S217","Tabula Muris Senis (bulk RNA seq)","Liver_23","Mus musculus C57/BL6","9","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127121","SAMN11855098","Illumina NovaSeq 6000","Liver_23-m-9"
"J10_384Bulk_Plate1_S226","J10_384Bulk_Plate1_S226","Tabula Muris Senis (bulk RNA seq)","Kidney_16","Mus musculus C57/BL6","18","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127122","SAMN11855099","Illumina NovaSeq 6000","Kidney_16-f-18"
"J10_384Bulk_Plate2_S226","J10_384Bulk_Plate2_S226","Tabula Muris Senis (bulk RNA seq)","GAT_55","Mus musculus C57/BL6","6","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127123","SAMN11855100","Illumina NovaSeq 6000","GAT_55-m-6"
"J10_384Bulk_Plate3_S226","J10_384Bulk_Plate3_S226","Tabula Muris Senis (bulk RNA seq)","Bone_51","Mus musculus C57/BL6","12","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127124","SAMN11855101","Illumina NovaSeq 6000","Bone_51-m-12"
